season,offense_team,roster_position,total_plays,play_distance_SUM,medium_acceleration_count_SUM,high_acceleration_count_SUM,medium_deceleration_count_SUM,high_deceleration_count_SUM,targeted_tightwindow_catch_SUM,targeted_catch_SUM,tight_window_at_throw_SUM,max_speed_max,max_speed_99,average_separation_max,average_separation_99,max_speed_0_10_yards_max,max_speed_10_20_yards_max,max_speed_30_inf_yards_max,flying_10_min,flying_20_min,separation_at_throw_VMAN,separation_at_outcome_VMAN,10ydplus_route_MEAN,20ydplus_route_MEAN,changedir_route_MEAN,expected_yac_at_catch_MEAN,YACOE_MEAN,separation_change_postthrow_MEAN,CPOE_MEAN,cod_top5_speed_entry_avg_180_,cod_top5_speed_entry_avg_90_,cod_top5_speed_exit_avg_180_,cod_top5_speed_exit_avg_90_,cod_sep_generated_overall,tracking_player_name,draft_round,draft_pick,draft_year,drafted,undrafted,draft_capital,tracking_player_name_college,games_played,receptions,rec_yards,rec_tds,yards_per_rec,yards_per_game_college,recs_per_game,tds_per_game,production_score,volume_tier,speed_score,burst_rate,first_step_quickness,brake_rate,route_diversity,separation_consistency,man_coverage_win_rate,tracking_skill,contested_catch_rate,tight_window_target_pct,yac_ability,qb_friendly,sharp_cut_ability,route_bend_ability,cut_separation,high_volume_player,distance_per_play,total_explosive_events,explosive_rate,athleticism_score,route_running_grade,prospect_score,rookie_season,yards_per_game_nfl,targets_per_game,receptions_per_game,catch_rate,player_name,archetype
2022.0,NCWF,WR,155.0,1299.0,19.0,57.0,50.0,41.0,0.0,0.0,32.0,20.38,19.7759,10.38,10.0706,16.71,19.05,20.38,1.05,2.05,1.89,3.03,61.93548387,1.935483871,12.25806452,,,0.5457894737,,13.036016,13.6687264,10.8978912,14.754152,2.71750575,A.T. Perry,6.0,195.0,2023.0,True,False,20.0,A.T. Perry,13.0,81.0,1096.0,11.0,13.5,84.3,6.230769230769231,0.8461538461538461,71.53846153846153,150-200 (Heavy),20.07795,36.774193548387096,16.71,26.451612903225808,23.0322580654,10.0706,1.89,0.5457894737,0.0,20.64516129032258,,,14.211439200000001,11.9669536,2.71750575,1,8.380645161290323,98.0,63.2258064516129,51.82303608157981,50.46852917722222,51.14578262940101,2023,30.75,2.25,1.5,0.6666666666666666,A.T. Perry,1.0
2022.0,NJPR,WR,161.0,1396.0,38.0,81.0,40.0,51.0,0.0,0.0,23.0,19.54,19.138,9.23,8.950533333,16.96,18.79,19.11,1.11,2.25,,,58.38509317,1.863354037,24.22360248,,,0.1468493151,,12.5069392,12.4946668,8.4243208,15.6854908,,Andrei Iosivas,6.0,206.0,2023.0,True,False,20.0,,,,,,,,,,,150-200 (Heavy),19.124000000000002,50.31055900621118,16.96,31.67701863354037,25.527950309799998,8.950533333,,0.1468493151,0.0,14.285714285714285,,,14.0900788,10.46563,,1,8.670807453416149,132.0,81.98757763975155,54.49613677618285,51.90922481358208,53.20268079488247,2023,12.88888888888889,2.7777777777777777,1.6666666666666667,0.6,Andrei Iosivas,4.0
2022.0,NCUN,WR,59.0,513.0,10.0,42.0,13.0,27.0,0.0,0.0,7.0,21.92,20.9225,8.52,8.349,16.21,19.51,21.92,0.95,1.94,1.31,1.745,59.3220339,5.084745763,32.20338983,,,-0.0696875,,13.2501012,12.6664804,7.5993428,14.7582426,0.17530985,Antoine Green,7.0,219.0,2023.0,True,False,10.0,Antoine Green,9.0,43.0,798.0,7.0,18.6,88.7,4.777777777777778,0.7777777777777778,69.44444444444444,50-100 (Rotational),21.42125,71.1864406779661,16.21,45.76271186440678,29.4915254242,8.349,1.31,-0.0696875,0.0,11.864406779661017,,,13.7123615,10.424722,0.17530985,0,8.694915254237289,69.0,116.94915254237289,70.50111267777385,49.0222285850768,59.761670631425325,2023,1.0,1.0,0.5,0.5,Antoine Green,4.0
2022.0,PAPT,WR,98.0,818.0,16.0,35.0,43.0,14.0,0.0,0.0,8.0,20.93,20.0558,13.94444444,11.16195556,16.58,19.32,20.93,1.05,2.04,,,57.14285714,1.020408163,11.2244898,,,-0.3565853659,,11.379242,13.1941936,3.799898667,13.6128188,0.7985699,Bub Means,5.0,170.0,2024.0,True,False,30.0,Bub Means,13.0,27.0,401.0,2.0,14.9,30.8,2.076923076923077,0.1538461538461538,22.653846153846153,50-100 (Rotational),20.4929,35.714285714285715,16.58,14.285714285714285,20.918367347199997,11.16195556,,-0.3565853659,0.0,8.16326530612245,,,13.403506199999999,7.589570333499999,0.7985699,0,8.346938775510203,49.0,50.0,52.686609578515416,56.46379778237503,54.57520368044523,2024,29.5,3.75,2.25,0.6,Bub Means,1.0
2022.0,INPU,WR,73.0,607.0,11.0,47.0,23.0,19.0,0.0,0.0,17.0,20.08,19.9025,11.46125,10.2568,16.84,18.65,20.08,1.05,2.12,1.6,0.46,61.64383562,0.0,24.65753425,,,-0.2854545455,,13.308736,14.5114312,11.1419756,15.895485,0.7704317823,Charlie Jones,4.0,131.0,2023.0,True,False,40.0,Charlie Jones,13.0,110.0,1361.0,12.0,12.4,104.7,8.461538461538462,0.9230769230769232,87.73076923076923,50-100 (Rotational),19.99125,64.38356164383562,16.84,26.027397260273972,25.890410961,10.2568,1.6,-0.2854545455,0.0,23.28767123287671,,,15.2034581,12.225355799999999,0.7704317823,0,8.315068493150685,66.0,90.41095890410958,63.136998101740176,52.573668047239615,57.85533307448989,2023,12.8,1.8,1.4,0.7777777777777778,Charlie Jones,0.0
2022.0,TNMR,WR,113.0,1074.0,29.0,64.0,29.0,25.0,0.0,0.0,15.0,19.95,19.716,10.57,10.5512,16.57,19.68,19.73,1.05,2.15,4.42,3.7,69.02654867,1.769911504,18.5840708,,,-0.2014285714,,10.3579056,15.479587,7.8079736,15.6650366,1.849541593,Colton Dowell,7.0,228.0,2023.0,True,False,10.0,,,,,,,,,,,100-150 (Starter),19.723,56.63716814159292,16.57,22.123893805309734,26.991150442599995,10.5512,4.42,-0.2014285714,0.0,13.274336283185843,,,15.572311800000001,9.0829396,1.849541593,0,9.504424778761061,89.0,78.76106194690266,59.04008796826222,60.5520736262456,59.79608079725391,2023,1.5,1.0,0.5,0.5,Colton Dowell,0.0
2022.0,UTUN,WR,156.0,1218.0,25.0,80.0,43.0,49.0,0.0,0.0,24.0,17.88,17.82,10.72,10.68,16.34,17.81,16.7,1.23,2.44,3.44,2.493333333,55.76923077,0.641025641,23.07692308,,,0.1070769231,,12.6623896,16.0127546,10.9551624,16.0113912,0.9741375735,Devaughn Vele,7.0,235.0,2024.0,True,False,10.0,Devaughn Vele,14.0,55.0,695.0,5.0,12.6,49.6,3.928571428571429,0.3571428571428571,39.82142857142857,150-200 (Heavy),17.259999999999998,51.28205128205128,16.34,31.41025641025641,23.9102564114,10.68,3.44,0.1070769231,0.0,15.384615384615385,,,16.0120729,11.808776,0.9741375735,1,7.8076923076923075,129.0,82.6923076923077,49.02636574724575,56.3944873226309,52.71042653493832,2024,36.53846153846154,4.230769230769231,3.1538461538461537,0.7454545454545455,Devaughn Vele,0.0
2022.0,OHKS,WR,149.0,1350.0,19.0,41.0,27.0,29.0,0.0,0.0,11.0,21.02,19.7066,11.321,10.5568,17.04,21.02,19.67,1.05,2.15,,,64.4295302,5.369127517,8.724832215,,,0.2944736842,,12.361034,12.7237516,7.963424,14.3505264,0.3324747313,Devontez Walker,4.0,113.0,2024.0,True,False,40.0,Devontez Walker,12.0,58.0,921.0,11.0,15.9,76.8,4.833333333333333,0.9166666666666666,66.375,100-150 (Starter),19.6883,27.516778523489933,17.04,19.463087248322147,24.0939597313,10.5568,,0.2944736842,0.0,7.38255033557047,,,13.537139,10.162229,0.3324747313,0,9.060402684563758,70.0,46.97986577181208,46.70917325070588,57.422442232804734,52.06580774175531,2024,10.5,1.5,0.5,0.3333333333333333,Devontez Walker,1.0
2022.0,VAUN,WR,79.0,632.0,25.0,32.0,18.0,16.0,0.0,0.0,9.0,20.41,20.077,10.6,10.2058,16.29,19.38,19.77,1.05,2.15,6.58,4.4,54.43037975,0.0,11.39240506,,,0.2886666667,,9.57929,14.9068752,6.37483,13.9646276,0.419459655,Dontayvion Wicks,5.0,159.0,2023.0,True,False,30.0,Dontayvion Wicks,8.0,30.0,430.0,2.0,14.3,53.8,3.75,0.25,39.375,50-100 (Rotational),19.9235,40.50632911392405,16.29,20.253164556962027,19.746835443,10.2058,6.58,0.2886666667,0.0,11.39240506329114,,,14.435751400000001,7.97706,0.419459655,0,8.0,48.0,60.75949367088608,52.902365408101566,58.75468010341286,55.82852275575721,2023,38.733333333333334,3.8666666666666667,2.6,0.6724137931034483,Dontayvion Wicks,1.0
2022.0,CASJ,WR,105.0,898.0,18.0,55.0,32.0,38.0,0.0,0.0,28.0,19.82,19.3904,10.11,9.0019,16.98,19.02,19.76,1.05,2.15,4.005,1.705,61.9047619,2.857142857,24.76190476,,,-0.08907407407,,9.1947548,14.8768758,7.2802604,15.5204952,1.21672453,,,,,False,True,0.0,Elijah Cooks,12.0,69.0,1076.0,10.0,15.6,89.7,5.75,0.8333333333333334,73.0,100-150 (Starter),19.575200000000002,52.38095238095239,16.98,36.19047619047619,27.142857140799997,9.0019,4.005,-0.08907407407,0.0,26.666666666666668,,,15.1986855,8.2375076,1.21672453,0,8.552380952380952,93.0,88.57142857142857,56.78776463059576,55.14037988315445,55.964072256875106,2023,19.0,2.0,1.5,0.75,Elijah Cooks,4.0
